Item Id,Item Name,Price,Sales,Shop Name,Commission Rate,Commission,Product Link,Offer Link
"41976409026,Olá Yoga Nude Jaqueta Esportiva Ao Ar Livre Feminina Fina Respirável Fitness Wear Pequena,""88,96"",363,Alo Yoga Compras,13%,""R$11,56"",https://shopee.com.br/product/1399701658/41976409026,https://s.shopee.com.br/8KlZsguLNz"
"28641019304,Conjunto Cropped Tomara que Caia + Saia Midi Fenda,""35,69"",8mil+,boutique_cinderela,23%,""R$8,21"",https://shopee.com.br/product/379070931/28641019304,https://s.shopee.com.br/8phqTbsRN6"
"22693962071,KIT 3 Blusa Termica Feminina Blusa De Frio Feminina Blusa Gola Alta Feminino Blusas Cacharrel,""59,90"",1mil+,BASSY,7%,""R$4,19"",https://shopee.com.br/product/415154868/22693962071,https://s.shopee.com.br/8fOQHIt4i5"
"22398488125,Vestido Longo Feminino Estampado Floral Manga Flare Decote V Elastex Elegante Moda Verão,""79,99"",1mil+,Catalina Modas,15%,""R$12,00"",https://shopee.com.br/product/428059893/22398488125,https://s.shopee.com.br/9AKgsDrAhC"
"19697811379,Calça Pantalona Cintura Alta com Bolso Dunas,""28,22"",30mil+,Atos Boutique,16%,""R$4,52"",https://shopee.com.br/product/877583991/19697811379,https://s.shopee.com.br/901Gfuro2B"
"58252498683,Conjunto Ana Alfaiataria Plus Size e Slim Colete com Botões e Short com Zíper Moda Casual Verão Look Moda Mulher Verão,""59,90"",231,Lanour MODA,19%,""R$11,38"",https://shopee.com.br/product/1491044633/58252498683,https://s.shopee.com.br/9UxXGppu1I"
"23498635174,Cropped Top Feminino Alcinha Frente Forrada Personalizado Copa 2026 ESTHER BRASIL,""29,83"",258,Lily Pink,20%,""R$5,97"",https://shopee.com.br/product/448654639/23498635174,https://s.shopee.com.br/9Ke74WqXMH"
"23298795015,Vestido Longo Feminino Elegante com Botões Perola Funcionais e Faixa na Cintura | Vestido Casual Social | Moda Feminina,""74,81"",2mil+,D&G MODA FEMENINA,3%,""R$2,24"",https://shopee.com.br/product/1598935210/23298795015,https://s.shopee.com.br/9paNfRodLO"
"23998797087,Calça Pantalona Lanzinha Feminina Cintura Alta Com Elastico De e Bolso Outono / Inverno Promoção,""39,98"",5mil+,JORZEL FASHION,15%,""R$6,00"",https://shopee.com.br/product/1312004344/23998797087,https://s.shopee.com.br/9fGxT8pGgN"
"22793098916,conjunto astrid viscolinho e linho.,""49,90"",36,Flyestore,14%,""R$6,99"",https://shopee.com.br/product/956556000/22793098916,https://s.shopee.com.br/AADE43nMfU"
"18999871637,Short Saia Jeans com Fenda Lateral e Pinças com Brilho do 34 ao 52,""39,99"",4mil+,infinity Modas_011,7%,""R$2,80"",https://shopee.com.br/product/728479519/18999871637,https://s.shopee.com.br/9ztnrko00T"
